"stimulusFile","stimulus","accuracy","rt","participant","gender","age","condition","stimulus_category"
"stimuliBlock1.xlsx","Correct",1,1391,103,"m",23,3,"true"
"stimuliBlock1.xlsx","Verkeerd",1,1324,103,"m",23,3,"false"
"stimuliBlock1.xlsx","Verkeerd",1,1629,104,"f",22,4,"false"
"stimuliBlock1.xlsx","Correct",1,1297,104,"f",22,4,"true"
"stimuliBlock1.xlsx","Mis",1,1362,104,"f",22,4,"false"
"stimuliBlock1.xlsx","Fout",1,2346,104,"f",22,4,"false"
"stimuliBlock1.xlsx","Exact",1,1898,104,"f",22,4,"true"
"stimuliBlock1.xlsx","Goed",1,1696,104,"f",22,4,"true"
"stimuliBlock1.xlsx","Juist",1,1747,104,"f",22,4,"true"
"stimuliBlock1.xlsx","Onjuist",1,1427,104,"f",22,4,"false"
"stimuliBlock1.xlsx","Incorrect",1,1414,104,"f",22,4,"false"
"stimuliBlock1.xlsx","Mis",1,1255,104,"f",22,4,"false"
"stimuliBlock1.xlsx","Onjuist",1,1265,104,"f",22,4,"false"
"stimuliBlock1.xlsx","Incorrect",1,1267,104,"f",22,4,"false"
"stimuliBlock1.xlsx","Goed",1,1316,104,"f",22,4,"true"
"stimuliBlock1.xlsx","Verkeerd",1,1382,104,"f",22,4,"false"
"stimuliBlock1.xlsx","Correct",1,1298,104,"f",22,4,"true"
"stimuliBlock1.xlsx","Juist",1,1284,104,"f",22,4,"true"
"stimuliBlock1.xlsx","Fout",1,1164,104,"f",22,4,"false"
"stimuliBlock1.xlsx","Exact",1,1333,104,"f",22,4,"true"
"stimuliBlock1.xlsx","Juist",1,1794,105,"f",19,1,"true"
"stimuliBlock1.xlsx","Incorrect",1,1454,105,"f",19,1,"false"
"stimuliBlock1.xlsx","Exact",1,1357,105,"f",19,1,"true"
"stimuliBlock1.xlsx","In orde",1,1807,105,"f",19,1,"true"
"stimuliBlock1.xlsx","Goed",1,1273,105,"f",19,1,"true"
"stimuliBlock1.xlsx","Onjuist",1,1421,105,"f",19,1,"false"
"stimuliBlock1.xlsx","Fout",1,1423,105,"f",19,1,"false"
"stimuliBlock1.xlsx","Verkeerd",1,1304,105,"f",19,1,"false"
"stimuliBlock1.xlsx","Mis",1,1440,105,"f",19,1,"false"
"stimuliBlock1.xlsx","Correct",1,1288,105,"f",19,1,"true"
"stimuliBlock1.xlsx","Onjuist",1,1422,105,"f",19,1,"false"
"stimuliBlock1.xlsx","Goed",1,1157,105,"f",19,1,"true"
"stimuliBlock1.xlsx","Mis",1,1709,105,"f",19,1,"false"
"stimuliBlock1.xlsx","Incorrect",1,1340,105,"f",19,1,"false"
"stimuliBlock1.xlsx","Juist",1,1272,105,"f",19,1,"true"
"stimuliBlock1.xlsx","Correct",1,1308,105,"f",19,1,"true"
"stimuliBlock1.xlsx","Fout",1,1306,105,"f",19,1,"false"
"stimuliBlock1.xlsx","In orde",1,1339,105,"f",19,1,"true"
"stimuliBlock1.xlsx","Verkeerd",1,1357,105,"f",19,1,"false"
"stimuliBlock1.xlsx","Exact",1,1591,105,"f",19,1,"true"
"stimuliBlock1.xlsx","Mis",1,2815,106,"m",18,2,"false"
"stimuliBlock1.xlsx","Fout",1,1770,106,"m",18,2,"false"
"stimuliBlock1.xlsx","In orde",1,2692,106,"m",18,2,"true"
"stimuliBlock1.xlsx","Correct",1,1708,106,"m",18,2,"true"
"stimuliBlock1.xlsx","Juist",1,1373,106,"m",18,2,"true"
"stimuliBlock1.xlsx","Incorrect",1,1607,106,"m",18,2,"false"
"stimuliBlock1.xlsx","Verkeerd",1,1388,106,"m",18,2,"false"
"stimuliBlock1.xlsx","Onjuist",1,1288,106,"m",18,2,"false"
"stimuliBlock1.xlsx","Exact",1,1374,106,"m",18,2,"true"
"stimuliBlock1.xlsx","Goed",1,1356,106,"m",18,2,"true"
"stimuliBlock1.xlsx","In orde",1,1288,106,"m",18,2,"true"
"stimuliBlock1.xlsx","Incorrect",1,1422,106,"m",18,2,"false"
"stimuliBlock1.xlsx","Onjuist",1,1324,106,"m",18,2,"false"
"stimuliBlock1.xlsx","Correct",1,1356,106,"m",18,2,"true"
"stimuliBlock1.xlsx","Juist",1,1408,106,"m",18,2,"true"
"stimuliBlock1.xlsx","Verkeerd",1,1343,106,"m",18,2,"false"
"stimuliBlock1.xlsx","Goed",1,1273,106,"m",18,2,"true"
"stimuliBlock1.xlsx","Exact",1,1288,106,"m",18,2,"true"
"stimuliBlock1.xlsx","Fout",1,1240,106,"m",18,2,"false"
"stimuliBlock1.xlsx","Mis",1,1274,106,"m",18,2,"false"
"stimuliBlock1.xlsx","Exact",1,4850,107,"f",19,3,"true"
"stimuliBlock1.xlsx","Goed",1,1903,107,"f",19,3,"true"
"stimuliBlock1.xlsx","Mis",1,4573,107,"f",19,3,"false"
"stimuliBlock1.xlsx","Correct",1,1548,107,"f",19,3,"true"
"stimuliBlock1.xlsx","In orde",1,1354,107,"f",19,3,"true"
"stimuliBlock1.xlsx","Fout",1,1328,107,"f",19,3,"false"
"stimuliBlock1.xlsx","Incorrect",1,1604,107,"f",19,3,"false"
"stimuliBlock1.xlsx","Juist",1,1288,107,"f",19,3,"true"
"stimuliBlock1.xlsx","Onjuist",1,1423,107,"f",19,3,"false"
"stimuliBlock1.xlsx","Verkeerd",1,1362,107,"f",19,3,"false"
"stimuliBlock1.xlsx","Incorrect",1,1414,107,"f",19,3,"false"
"stimuliBlock1.xlsx","Fout",1,1250,107,"f",19,3,"false"
"stimuliBlock1.xlsx","In orde",1,1349,107,"f",19,3,"true"
"stimuliBlock1.xlsx","Correct",1,1301,107,"f",19,3,"true"
"stimuliBlock1.xlsx","Goed",1,1274,107,"f",19,3,"true"
"stimuliBlock1.xlsx","Verkeerd",1,1408,107,"f",19,3,"false"
"stimuliBlock1.xlsx","Onjuist",1,1310,107,"f",19,3,"false"
"stimuliBlock1.xlsx","Mis",1,1354,107,"f",19,3,"false"
"stimuliBlock1.xlsx","Juist",1,1566,107,"f",19,3,"true"
"stimuliBlock1.xlsx","Exact",1,1407,107,"f",19,3,"true"
"stimuliBlock1.xlsx","Goed",1,1849,108,"f",18,4,"true"
"stimuliBlock1.xlsx","Correct",1,1740,108,"f",18,4,"true"
"stimuliBlock1.xlsx","Juist",1,1754,108,"f",18,4,"true"
"stimuliBlock1.xlsx","Fout",1,1480,108,"f",18,4,"false"
"stimuliBlock1.xlsx","Incorrect",1,1787,108,"f",18,4,"false"
"stimuliBlock1.xlsx","Mis",1,1598,108,"f",18,4,"false"
"stimuliBlock1.xlsx","Onjuist",1,1528,108,"f",18,4,"false"
"stimuliBlock1.xlsx","In orde",1,1569,108,"f",18,4,"true"
